impr,lang,query,blog,blog_pos,tour,tour_pos
50,en,magnetic sand beach georgia,/en/blog/ureki-beach/,8.7,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,9.4
47,ru,тбилиси кахетия,/blog/kakheti-za-1-den/#distances,9.4,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,27
46,ru,крепость нарикала когда откроют,/blog/kanatnaya-doroga-tbilisi/,1,/ekskursiya/ekskursiya-narikala/,9
46,en,narikala viewpoint,/en/blog/narikala-fortress-tbilisi/,5.9,/en/ekskursiya/ekskursiya-narikala/,9.2
46,en,narikala fortress cable car price,/en/blog/tbilisi-cable-car/,3.9,/en/ekskursiya/ekskursiya-narikala/,8
45,ru,кахетия вино грузия,/blog/gruzinskoe-vino-gid/,21.8,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,73.6
45,ru,в грузию,/blog/karty-nalichnye-gruziya/,1,/tury-v-gruziyu/,64
45,en,david gareji,/en/blog/david-gareja-monastery/#how-to-get,11.5,/en/ekskursiya/ekskursiya-david-gareji/,17.6
43,ru,тбилиси зимой,/blog/gruziya-zimoy/,6.7,/ekskursiya/gastronomicheskiy-tur-tbilisi/,13
43,en,tbilisi to borjomi and akhalkalaki,/en/blog/borjomi-from-tbilisi/,18,/en/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,70.6
41,en,narikala tickets,/en/blog/free-things-tbilisi/,1,/en/ekskursiya/ekskursiya-narikala/,38
40,ru,казбек тбилиси расстояние,/blog/kazbegi-iz-tbilisi-2026/,9.5,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,11
40,en,kakheti wine tour,/en/blog/kakheti-one-day-trip/,3,/en/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,74
39,ru,экскурсии из тбилиси в кахетию,/blog/kakheti-za-1-den/#distances,9,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,37.8
39,ru,нарикала билеты,/blog/narikala-tbilisi/,6.5,/ekskursiya/ekskursiya-narikala/,10.0
39,ru,кахети,/blog/kazbegi-ili-kakheti/,4,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,18.7
39,ru,казбеги экскурсия,/blog/kazbegi-iz-tbilisi-2026/,4,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,32.6
39,ru,абанотубани тбилиси,/blog/sernye-bani-tbilisi/#history,9,/ekskursiya/ekskursiya-abanotubani/,56
39,en,what about georgia,/en/blog/sulfur-baths-tbilisi/,1,/en/ekskursiya/tur-dlya-pensionerov-gruziya/,3
39,en,narikala fort,/en/blog/tbilisi-cable-car/,1,/en/ekskursiya/ekskursiya-narikala/,64.4
39,en,georgia itinerary 7 days,/en/blog/georgia-7-day-itinerary/#day1,4,/en/ekskursiya/tur-gruziya-noviy-god/,220
38,ru,нарикала канатная дорога,/blog/kanatnaya-doroga-tbilisi/,10.8,/ekskursiya/ekskursiya-narikala/,81
38,en,tbilisi to borjomi and akhalkalaki day trip,/en/blog/borjomi-from-tbilisi/,12.6,/en/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,84.3
38,en,tbilisi fortress,/en/blog/botanical-garden-tbilisi/,3,/en/ekskursiya/ekskursiya-narikala/,10
37,ru,грузия маршрут на 7 дней,/blog/gruziya-7-dney/,2.7,/ekskursiya/tur-gruziya-7-dney/,8.8
37,en,plan a three day tbilisi itinerary,/en/blog/narikala-fortress-tbilisi/,7,/en/ekskursiya/tur-gruziya-3-dnya/,11
36,ru,трансфер тбилиси казбеги,/blog/transfer-tbilisi-kazbegi/,8.9,/ekskursiya/transfer-aeroport-tbilisi/,11
36,ru,казбеги тбилиси,/blog/kogda-ekhat-v-kazbegi/,2,/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,10
36,en,vardzia monastery,/en/blog/what-to-buy-in-georgia/,4,/en/ekskursiya/ekskursiya-vardzia/,6.2
36,en,martvili canyon ticket prices 2026,/en/blog/martvili-canyon/,6.5,/en/ekskursiya/ekskursiya-kanyony-zapadnoy-gruzii/,9.7
36,en,borjomi honeymoon packages,/en/blog/borjomi-complete-guide/,8.3,/en/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,14
35,en,магнитные пески,/en/blog/ureki-beach/,1,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,23.2
34,ru,серные бани тбилиси цена,/blog/sernye-bani-tbilisi/,24.8,/ekskursiya/ekskursiya-abanotubani/,59.5
33,ru,грузия экскурсия в кахетию,/blog/kakheti-za-1-den/,38,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,46.5
33,en,kakheti georgia,/en/blog/what-to-buy-in-georgia/,2,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,35
32,ru,тур в кахетию из тбилиси,/blog/kakheti-za-1-den/#distances,4,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,11.5
32,en,yes please,/en/blog/georgian-wine-guide/,1,/en/ekskursiya/shopping-tur-tbilisi/,2
31,ru,туры в грузию из ташкента,/blog/skolko-stoit-otdyh-v-gruzii/,2,/tury-v-gruziyu-iz-tashkenta/,24.1
31,ru,тбилиси вардзия,/blog/vardzia/,8.4,/ekskursiya/ekskursiya-vardzia/,10.9
31,ru,отдых в грузии с детьми,/blog/gruziya-s-detmi/#chego-izbegat,12.5,/tury-v-gruziyu-s-detmi/,74
31,en,magnetic beach georgia,/en/blog/ureki-beach/,7.4,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,10
31,en,black sand beach georgia,/en/blog/ureki-beach/,7.5,/en/ekskursiya/ekskursiya-ureki-iz-tbilisi/,8.1
30,ru,магнитный песок в грузии уреки,/blog/ureki-plyazh/,14.3,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,41.5
30,ru,давай,/blog/dom-yustitsii-tbilisi/,1,/ekskursiya/tur-kutaisi-iz-tbilisi/,8
29,ru,черные пески уреки,/blog/ureki-plyazh/,7,/ekskursiya/ekskursiya-ureki-iz-tbilisi/,10
29,ru,в тбилиси,/blog/sernye-bani-tbilisi/,1,/ekskursiya/progulka-po-kure-tbilisi/,2
29,en,батуми или тбилиси,/en/blog/batumi-from-tbilisi/,2,/ekskursiya/tur-batumi-iz-tbilisi/,21.1
29,en,tbilisi brutalism architecture,/en/blog/soviet-tbilisi-tour/,8.2,/en/ekskursiya/sovetskiy-tur-tbilisi/,11
